Brend,Cena,Godiste,Gorivo,Karoserija,Kilometraza,Kubikaza,Model,Snaga
ALFA ROMEO,2000,2003,Benzin + Gas (TNG) ,Hecbek ,130000,1600,147,105
ALFA ROMEO,2190,2006,Dizel ,Hecbek ,185000,1900,147,120
ALFA ROMEO,1350,2002,Benzin ,Hecbek ,218650,1600,147,120
ALFA ROMEO,1150,2003,Dizel ,Hecbek ,221135,1896,147,116
ALFA ROMEO,1250,2002,Benzin ,Hecbek ,216550,1970,147,150
ALFA ROMEO,1800,2003,Dizel ,Hecbek ,233500,1910,147,140
ALFA ROMEO,1850,2005,Benzin ,Hecbek ,223383,1600,147,105
ALFA ROMEO,1550,2003,Dizel ,Hecbek ,250000,1910,147,140
ALFA ROMEO,1350,2001,Benzin ,Hecbek ,200360,1597,147,75
ALFA ROMEO,2200,2004,Dizel ,Hecbek ,216000,1910,147,116
ALFA ROMEO,950,2004,Dizel ,Hecbek ,257849,1910,147,140
ALFA ROMEO,1700,2002,Benzin ,Hecbek ,111729,1598,147,120
ALFA ROMEO,1999,2008,Dizel ,Hecbek ,197303,1910,147,120
ALFA ROMEO,2150,2006,Dizel ,Hecbek ,235493,1910,147,120
ALFA ROMEO,1990,2007,Benzin ,Hecbek ,154000,1598,147,105
ALFA ROMEO,2699,2006,Dizel ,Hecbek ,186946,1910,147,120
ALFA ROMEO,1800,2004,Dizel ,Hecbek ,234500,1910,147,116
ALFA ROMEO,2100,2006,Dizel ,Hecbek ,217714,1910,147,120
ALFA ROMEO,2100,2007,Dizel ,Hecbek ,250000,1910,147,150
ALFA ROMEO,850,2006,Benzin ,Hecbek ,235000,1600,147,120
ALFA ROMEO,2400,2006,Dizel ,Hecbek ,206000,1900,147,120
ALFA ROMEO,1300,2003,Dizel ,Hecbek ,197000,1910,147,116
ALFA ROMEO,1450,2001,Dizel ,Hecbek ,216000,1910,147,117
ALFA ROMEO,1150,2002,Benzin ,Hecbek ,134191,1600,147,105
ALFA ROMEO,1299,2004,Dizel ,Hecbek ,230000,1910,147,116
ALFA ROMEO,2750,2006,Dizel ,Hecbek ,221666,1910,147,150
ALFA ROMEO,1700,2003,Benzin ,Hecbek ,170000,1600,147,120
ALFA ROMEO,1199,2003,Dizel ,Hecbek ,354000,1910,147,114
ALFA ROMEO,700,2002,Benzin ,Limuzina ,250000,1600,147,102
ALFA ROMEO,1500,2002,Benzin ,Hecbek ,251932,1600,147,120
ALFA ROMEO,1700,2006,Dizel ,Hecbek ,213020,1910,147,120
ALFA ROMEO,1100,2001,Dizel ,Hecbek ,248000,1900,147,116
ALFA ROMEO,1300,2002,Dizel ,Hecbek ,185000,1900,147,116
ALFA ROMEO,2300,2005,Benzin + Gas (TNG) ,Hecbek ,193000,1598,147,120
ALFA ROMEO,950,2001,Dizel ,Hecbek ,315000,1910,147,116
ALFA ROMEO,2250,2006,Dizel ,Hecbek ,180000,1900,147,120
ALFA ROMEO,1600,2001,Dizel ,Hecbek ,215000,1900,147,116
ALFA ROMEO,2599,2006,Benzin ,Hecbek ,179000,1598,147,120
ALFA ROMEO,1000,2001,Benzin ,Hecbek ,163000,1600,147,120
ALFA ROMEO,1500,2004,Dizel ,Hecbek ,285000,1900,147,116
ALFA ROMEO,1450,2001,Benzin ,Hecbek ,175000,1598,147,120
ALFA ROMEO,1600,2005,Dizel ,Hecbek ,184000,1900,147,117
ALFA ROMEO,1250,2002,Benzin ,Hecbek ,325000,1597,147,105
ALFA ROMEO,1150,2003,Benzin + Gas (TNG) ,Hecbek ,302690,1598,147,120
ALFA ROMEO,2700,2005,Dizel ,Hecbek ,207000,1900,147,116
ALFA ROMEO,2500,2008,Dizel ,Hecbek ,231000,1900,147,120
ALFA ROMEO,1600,2003,Dizel ,Limuzina ,230000,1900,147,84
ALFA ROMEO,1900,2006,Benzin + Gas (TNG) ,Hecbek ,102984,1600,147,105
ALFA ROMEO,2200,2006,Dizel ,Hecbek ,223000,1900,147,120
ALFA ROMEO,1600,2003,Benzin ,Hecbek ,163647,1600,147,120
ALFA ROMEO,1799,2009,Benzin ,Hecbek ,161828,1598,147,105
ALFA ROMEO,1500,2008,Dizel ,Hecbek ,171000,1910,147,120
ALFA ROMEO,1350,2008,Benzin ,Hecbek ,163000,1910,147,120
ALFA ROMEO,2450,2008,Benzin ,Hecbek ,111000,1600,147,105
ALFA ROMEO,2650,2009,Dizel ,Hecbek ,178000,1910,147,120
ALFA ROMEO,2600,2008,Dizel ,Hecbek ,280000,1910,147,120
ALFA ROMEO,2100,2003,Dizel ,Hecbek ,223000,1900,147,140
ALFA ROMEO,2000,2005,Dizel ,Hecbek ,250000,1890,147,117
ALFA ROMEO,1950,2004,Dizel ,Hecbek ,245600,1900,147,101
ALFA ROMEO,1400,2001,Dizel ,Hecbek ,301000,1899,147,116
ALFA ROMEO,2299,2005,Dizel ,Hecbek ,202000,1900,147,116
ALFA ROMEO,1250,2002,Benzin ,Hecbek ,170000,1600,147,105
ALFA ROMEO,1200,2001,Benzin ,Limuzina ,225117,1600,147,120
ALFA ROMEO,1990,2004,Dizel ,Limuzina ,210000,1998,147,140
ALFA ROMEO,1450,2002,Benzin ,Hecbek ,163400,1598,147,105
ALFA ROMEO,1799,2006,Dizel ,Hecbek ,202000,1910,147,120
ALFA ROMEO,2090,2006,Dizel ,Hecbek ,236500,1900,147,150
ALFA ROMEO,1999,2006,Dizel ,Hecbek ,145000,1900,147,120
ALFA ROMEO,1690,2007,Dizel ,Hecbek ,242993,1910,147,120
ALFA ROMEO,2200,2002,Benzin ,Hecbek ,283354,1598,147,120
ALFA ROMEO,1999,2005,Benzin ,Hecbek ,123000,2000,147,150
ALFA ROMEO,1400,2002,Benzin ,Hecbek ,212000,1600,147,120
ALFA ROMEO,1999,2007,Dizel ,Hecbek ,161000,1910,147,117
ALFA ROMEO,1200,2002,Benzin + Gas (TNG) ,Hecbek ,140000,2000,147,150
ALFA ROMEO,2750,2007,Dizel ,Hecbek ,203000,1910,147,120
ALFA ROMEO,1600,2004,Dizel ,Hecbek ,221000,1910,147,116
ALFA ROMEO,1400,2002,Benzin ,Hecbek ,251452,1598,147,105
ALFA ROMEO,700,2004,Benzin ,Hecbek ,200000,1600,147,105
ALFA ROMEO,2500,2004,Dizel ,Hecbek ,29000,1900,147,116
ALFA ROMEO,1700,2003,Dizel ,Hecbek ,250000,1900,147,140
ALFA ROMEO,1200,2001,Benzin ,Hecbek ,196003,1598,147,105
ALFA ROMEO,850,2002,Dizel ,Hecbek ,123456,1910,147,116
ALFA ROMEO,1400,2004,Benzin ,Hecbek ,267852,1560,147,105
ALFA ROMEO,1450,2002,Dizel ,Hecbek ,402863,1910,147,116
ALFA ROMEO,1899,2006,Benzin ,Hecbek ,95000,1598,147,105
ALFA ROMEO,990,2003,Benzin ,Hecbek ,200000,1600,147,105
ALFA ROMEO,1599,2005,Dizel ,Hecbek ,16600,1900,147,150
ALFA ROMEO,1000,2003,Dizel ,Hecbek ,189000,1900,147,139
ALFA ROMEO,2700,2006,Benzin ,Hecbek ,185000,1600,147,105
ALFA ROMEO,1500,2003,Dizel ,Hecbek ,280000,1910,147,140
ALFA ROMEO,1200,2002,Dizel ,Hecbek ,250000,1910,147,140
ALFA ROMEO,1250,2003,Benzin ,Hecbek ,296000,1600,147,120
ALFA ROMEO,1700,2004,Dizel ,Hecbek ,230000,1900,147,114
ALFA ROMEO,1650,2004,Dizel ,Hecbek ,19000,1910,147,116
